iter	Passed	Remaining
0	160	64020
1	165	32967
2	170	22504
3	173	17209
4	176	13962
5	179	11788
6	182	10235
7	183	9006
8	186	8093
9	188	7356
10	190	6743
11	193	6243
12	195	5820
13	197	5453
14	200	5145
15	202	4865
16	205	4620
17	207	4403
18	209	4210
19	212	4032
20	214	3870
21	216	3725
22	219	3603
23	222	3478
24	224	3365
25	226	3259
26	228	3163
27	231	3070
28	233	2986
29	235	2908
30	238	2833
31	240	2764
32	243	2702
33	245	2641
34	247	2583
35	250	2528
36	252	2475
37	254	2426
38	256	2378
39	259	2332
40	261	2288
41	263	2247
42	266	2209
43	268	2171
44	270	2135
45	272	2100
46	275	2065
47	277	2033
48	279	2004
49	282	1974
50	284	1946
51	286	1918
52	288	1890
53	291	1864
54	293	1838
55	295	1814
56	297	1791
57	300	1771
58	302	1748
59	304	1725
60	306	1703
61	308	1682
62	310	1661
63	312	1641
64	314	1623
65	317	1604
66	318	1585
67	320	1566
68	322	1548
69	324	1531
70	327	1518
71	330	1507
72	333	1492
73	335	1476
74	337	1462
75	339	1448
76	341	1434
77	344	1420
78	346	1407
79	348	1394
80	351	1382
81	353	1370
82	355	1358
83	358	1346
84	360	1335
85	362	1323
86	364	1312
87	367	1301
88	369	1290
89	371	1281
90	374	1270
91	376	1260
92	378	1250
93	381	1241
94	383	1231
95	385	1221
96	388	1212
97	390	1204
98	393	1195
99	395	1186
100	397	1177
101	399	1168
102	402	1159
103	404	1150
104	406	1141
105	408	1133
106	410	1125
107	413	1117
108	415	1109
109	417	1101
110	420	1093
111	422	1086
112	424	1078
113	426	1070
114	428	1062
115	431	1055
116	433	1048
117	435	1041
118	438	1034
119	440	1027
120	442	1020
121	445	1015
122	448	1008
123	450	1001
124	452	995
125	454	989
126	457	983
127	460	977
128	462	971
129	464	964
130	466	958
131	468	951
132	470	945
133	473	938
134	475	932
135	477	927
136	479	921
137	481	914
138	483	908
139	485	902
140	488	896
141	490	890
142	492	884
143	494	878
144	496	873
145	499	868
146	501	862
147	503	857
148	505	851
149	507	846
150	510	841
151	512	836
152	514	830
153	517	825
154	519	821
155	521	815
156	523	810
157	526	806
158	529	801
159	531	797
160	533	792
161	536	787
162	538	782
163	540	777
164	542	772
165	545	769
166	548	764
167	550	760
168	552	755
169	554	750
170	556	745
171	559	741
172	562	737
173	564	733
174	567	730
175	570	725
176	572	721
177	575	717
178	577	713
179	580	709
180	582	705
181	586	702
182	589	698
183	591	694
184	594	690
185	596	686
186	598	681
187	600	677
188	603	674
189	606	670
190	608	666
191	611	661
192	613	658
193	615	654
194	618	649
195	620	645
196	624	643
197	627	639
198	629	635
199	631	631
200	633	627
201	635	623
202	638	619
203	641	615
204	643	612
205	646	608
206	648	604
207	650	600
208	652	596
209	655	592
210	657	589
211	660	585
212	663	582
213	665	578
214	668	575
215	673	573
216	676	570
217	679	567
218	681	563
219	684	560
220	687	556
221	689	552
222	692	549
223	695	546
224	697	542
225	700	539
226	702	535
227	705	531
228	707	528
229	709	524
230	712	521
231	715	518
232	717	514
233	720	510
234	723	507
235	725	504
236	727	500
237	730	497
238	733	494
239	736	490
240	739	487
241	741	484
242	744	480
243	746	477
244	748	473
245	751	470
246	753	466
247	755	463
248	757	459
249	760	456
250	763	453
251	765	449
252	768	446
253	770	443
254	773	439
255	775	436
256	778	433
257	780	429
258	782	426
259	785	422
260	787	419
261	790	416
262	794	413
263	796	410
264	798	406
265	801	403
266	803	400
267	805	396
268	807	393
269	809	389
270	811	386
271	814	383
272	816	379
273	818	376
274	820	372
275	822	369
276	824	366
277	826	362
278	829	359
279	832	356
280	834	353
281	836	349
282	838	346
283	840	343
284	842	340
285	845	336
286	847	333
287	849	330
288	852	327
289	854	324
290	857	321
291	860	318
292	862	314
293	864	311
294	867	308
295	869	305
296	871	302
297	874	299
298	877	296
299	879	293
300	883	290
301	886	287
302	889	284
303	892	281
304	894	278
305	896	275
306	899	272
307	901	269
308	904	266
309	906	263
310	909	260
311	911	257
312	914	254
313	917	251
314	920	248
315	923	245
316	925	242
317	927	239
318	929	236
319	932	233
320	935	230
321	937	227
322	939	223
323	942	221
324	944	217
325	946	214
326	949	211
327	951	208
328	953	205
329	955	202
330	958	199
331	960	196
332	962	193
333	964	190
334	967	187
335	969	184
336	971	181
337	974	178
338	977	175
339	981	173
340	983	170
341	985	167
342	988	164
343	990	161
344	993	158
345	995	155
346	998	152
347	1000	149
348	1003	146
349	1006	143
350	1008	140
351	1010	137
352	1013	134
353	1015	131
354	1017	129
355	1020	126
356	1022	123
357	1024	120
358	1027	117
359	1029	114
360	1032	111
361	1034	108
362	1036	105
363	1038	102
364	1041	99
365	1044	96
366	1046	94
367	1048	91
368	1051	88
369	1053	85
370	1055	82
371	1057	79
372	1059	76
373	1062	73
374	1064	70
375	1066	68
376	1069	65
377	1071	62
378	1074	59
379	1076	56
380	1078	53
381	1081	50
382	1084	48
383	1086	45
384	1088	42
385	1091	39
386	1093	36
387	1096	33
388	1098	31
389	1101	28
390	1103	25
391	1105	22
392	1108	19
393	1110	16
394	1113	14
395	1115	11
396	1117	8
397	1120	5
398	1122	2
399	1124	0
